ID|Title|Principal Investigator|Abstract|Justification|Target Object|Start Date|End Date|Status
137|Alert Notice 137: Last list for monitoring of ROSAT targets|Janet A. Mattei|The x-ray ROentgen SATellite (ROSAT) is reaching the end of its survey mode of operations at the end of January. Monitoring of ROSAT targets is essential.|Monitoring of these ROSAT targets and early alerts to the onset of outbursts are vital for the scheduling of simultaneous multiwavelength observations.|0058+40 RX And; 0139+37 AR And; 0102+59 HT Cas; 0809-76 Z Cha; 0109+37 FO And; 0201+14 TT Ari; 0124+57 KU Cas; 1004-69 OY Car; 0120+31 TY Psc; 1004-69 OY Car; 0130+50 KT Per; 1307-60 NN Cen; 0139+37 AR And; 1325-54 BV Cen; 0201+14 TT Ari|1991-01-14|1991-01-31|Archived
138|Alert Notice 138: Nova Herculis 1991 AND Special request to monitor R Coronae Borealis stars|Janet A. Mattei|We have just been informed by the Central Bureau of Astronomical Telegrams and Guy Hurst, England, of the visual discovery of a bright nova in Hercules by George Alcock, Yaxley, Peterborough, England, on March 25, 4.35 UT.|Astronomers at the Center for Astrophysics and Space Astronomy at University of Colorado and at the Harvard-Smithsonian Center for Astrophysics are continuing their observations of the following R Coronae Borealis stars with the International Ultraviolet Explorer (IUE) satellite.|V838 Her; V348 Sgr; RY Sgr; R CrB; Nova Her 1991; MY Sgr|1991-03-25|1991-03-26|Archived
139|Alert Notice 139: Nova Herculis 1991 AND Outburst of 2325+43 DX Andromedae|Janet A. Mattei|NOVA HERCULIS 1991 This bright nova is fading rather fast as indicated by the following observations. OUTBURST OF 2325+43 DX ANDROMEDAE Patrick Schmeer (Bischmisheim, Germany) informed us that the dwarf nova 2325+43 DX Andromedae is undergoing an outburst as indicated by his observations of March 28.169 UT, magnitude 11.8.|N/A|Nova Herculis 1991; 2325+43 DX Andromedae|1991-03-29|1991-03-30|Archived
140|Alert Notice 140: Nova Centauri 1991 AND Nova Herculis 1991|N/A|This alert notice highlights discoveries and observations of the novas Centauri 1991 and Hercules 1991.|To share information on the discovery of novas and request further observation.|Nova Centauri 1991; Nova Herculis 1991|1991-04-05|1991-04-06|Archived
141|Alert Notice 141: Supernova 1991T in NGC 4527 AND Nova Herculis 1991 AND Nova Centauri 1991|Stephen Knight|A supernova in the galaxy NGC 4527 was visually discovered on April 13.17 UT at approximately magnitude 14.0. The supernova's brightness was observed and reported by several independent groups. Nova Herculis 1991 and Nova Centauri 1991 were also observed.|N/A|Supernova 1991T in NGC 4527; Nova Herculis 1991; Nova Centauri 1991|1991-04-17|1991-04-18|Archived
142|Alert Notice 142: Nova Ophiuchi 1991 AND Nova in the Large Magellanic Cloud 1991 AND Supernova 1991T in NGC 4527 AND Nova Herculis 1991 AND Nova Centauri 1991|N/A|The campaign involves the observation of Nova Ophiuchi 1991, Nova in the Large Magellanic Cloud 1991, Supernova 1991T in NGC 4527, Nova Herculis 1991, and Nova Centauri 1991.|N/A|Nova Ophiuchi 1991; Nova LMC 1991; Supernova 1991T; Nova Her 1991; Nova Cen 1991|1991-04-19|1991-04-20|Archived
144|Alert Notice 144: Supernova 1991X in NGC 4902 AND Monitoring of 1910-33 RY Sagittarii|Janet A. Mattei|AAVSO Alert Notice 144 reporting on the discovery of supernova 1991X in NGC 4902 by Robert O. Evans and reminding observers to monitor the upcoming observing run with the IUE on RY Sgr.|N/A|NGC 4902; 1910-33 RY Sagittarii|1991-05-06|1991-05-07|Archived
143|Alert Notice 143: Major campaign on the flare star 1014+20 AD Leo AND SN 1991T AND Nova Her 1991 AND Nova Men (LMC) 1991|Janet A. Mattei|A major campaign has been organized to observe the flare star 101420 AD Leonis, SN 1991T, Nova Her 1991, and Nova Men (LMC) 1991.|The purpose of these multiwavelength observations is to provide a comprehensive study of the dynamics and energetics of stellar flares.|1014+20 AD Leo; SN 1991T; Nova Her 1991; Nova Men (LMC) 1991|1991-05-01|1991-05-09|Archived
145|Alert Notice 145: Request to monitor dwarf novae for IUE observing runs AND Request to monitor high-galactic latitude cataclysmic variables for IUE observing run|Janet A. Mattei|Our assistance has been requested by astronomers in England who have been granted observing time with the IUE to monitor dwarf novae in outburst. The scheduled observing times are June 7-9, and June 26-28, 1991.|Such observations are crucial to the success of these observing runs. They are needed to alert the astronomers to the onset of outbursts of dwarf novae and high-galactic latitude cataclysmic variables so that they may observe them with the IUE as soon as possible.|0418-13 AH Eri; 1251+27 GO Com; 0956+34 RU LMi; 1454+41 IT Boo; 1132+02 RZ Leo; 1439+22a UZ Boo; 1147+49 BC UMa; 2106-09 VY Aqr; 1227+14 AL Com; 2125-03 VZ Aqr|1991-06-07|1991-06-28|Archived
147|Alert Notice 147: Probable nova in Sagittarius AND Special multiwavelength monitoring of 0201+14 TT Arietis|Elizabeth O. Waagen|The Central Bureau for Astronomical Telegrams informs us that F. Bateson of the Royal Astronomical Society of New Zealand reported, via A. Gilmore of Mount John Observatory, the photographic discovery of a probable nova by P. Camilleri, Cobram, Victoria, Australia, on July 29.406 UT at magnitude 8.5. Gilmore reports the precise position (1950) of this object as: RA 18h 10m 58.12s Dec. -32deg 13' 23.6|The object has been confirmed visually, and appears to be fading quite quickly, as the following observations indicate|0201+14 TT Arietis; VZ Sgr; V4160 Sgr; Nova Sgr 1991|1991-07-29|1991-08-01|Archived
